2015-12-04 16:15:07 install libuuid1:amd64 <none> 2.25.2-4ubuntu2
2015-12-04 16:15:07 status half-installed libuuid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:07 status unpacked libuuid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:07 status unpacked libuuid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:08 install locales:all <none> 2.13+git20120306-19
2015-12-04 16:15:08 status half-installed locales:all 2.13+git20120306-19
2015-12-04 16:15:09 status unpacked locales:all 2.13+git20120306-19
2015-12-04 16:15:09 status unpacked locales:all 2.13+git20120306-19
2015-12-04 16:15:09 install login:amd64 <none> 1:4.1.5.1-1.1ubuntu4
2015-12-04 16:15:09 status half-installed login:amd64 1:4.1.5.1-1.1ubuntu4
2015-12-04 16:15:10 status unpacked login:amd64 1:4.1.5.1-1.1ubuntu4
2015-12-04 16:15:10 status unpacked login:amd64 1:4.1.5.1-1.1ubuntu4
2015-12-04 16:15:10 install lsb-base:all <none> 4.1+Debian11ubuntu8
2015-12-04 16:15:10 status half-installed lsb-base:all 4.1+Debian11ubuntu8
2015-12-04 16:15:10 status unpacked lsb-base:all 4.1+Debian11ubuntu8
2015-12-04 16:15:10 status unpacked lsb-base:all 4.1+Debian11ubuntu8
2015-12-04 16:15:10 install makedev:all <none> 2.3.1-93ubuntu1
2015-12-04 16:15:10 status half-installed makedev:all 2.3.1-93ubuntu1
